2024-08-22 21:34:55,070 - INFO - A new study created in memory with name: no-name-4bd02a01-23d6-4be9-825b-378438a65866
2024-08-22 23:32:03,675 - INFO - Trial 0 finished with value: 5.458833333333334 and parameters: {'window_size': 2, 'horizon': 4, 'batch_size': 64, 'lr': 0.078187026626428, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 3, 'dropout': 0.36263019902716814, 'scheduler_step_size': 2, 'scheduler_gamma': 0.7727614977237559}. Best is trial 0 with value: 5.458833333333334.
2024-08-23 10:18:24,347 - INFO - Trial 11 finished with value: 2.8073333333333337 and parameters: {'window_size': 4, 'horizon': 12, 'batch_size': 128, 'lr': 0.0002476830179969793, 'epochs': 5, 'model_type': 'gru', 'hidden_dim': 256, 'num_layers': 2, 'dropout': 0.1665946991524738, 'scheduler_step_size': 1, 'scheduler_gamma': 0.5763098487376902}. Best is trial 6 with value: 0.9928333333333335.
2024-08-23 10:36:52,886 - INFO - Trial 12 finished with value: 2.243333333333333 and parameters: {'window_size': 16, 'horizon': 12, 'batch_size': 128, 'lr': 0.0049963234673249405, 'epochs': 5, 'model_type': 'gru', 'hidden_dim': 64, 'num_layers': 3, 'dropout': 0.0020929977842203684, 'scheduler_step_size': 5, 'scheduler_gamma': 0.6715970216966495}. Best is trial 6 with value: 0.9928333333333335.
2024-08-23 10:40:39,754 - INFO - Trial 13 finished with value: 1.0065000000000002 and parameters: {'window_size': 4, 'horizon': 8, 'batch_size': 128, 'lr': 0.0001063071472055611, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.2147051445017935, 'scheduler_step_size': 1, 'scheduler_gamma': 0.4010439134316577}. Best is trial 6 with value: 0.9928333333333335.
2024-08-23 10:47:11,257 - INFO - Trial 14 finished with value: 0.7798333333333335 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.00016814621433651762, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.24079993172152991, 'scheduler_step_size': 4, 'scheduler_gamma': 0.41031280638101936}. Best is trial 14 with value: 0.7798333333333335.
2024-08-23 10:50:05,312 - INFO - Trial 15 finished with value: 1.11525 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0011604722645387384, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2492725046473411, 'scheduler_step_size': 6, 'scheduler_gamma': 0.11406764937276748}. Best is trial 14 with value: 0.7798333333333335.
2024-08-23 10:52:57,252 - INFO - Trial 16 finished with value: 0.9421666666666667 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.00024317462576233187, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.32634769221222815, 'scheduler_step_size': 6, 'scheduler_gamma': 0.2826501102564307}. Best is trial 14 with value: 0.7798333333333335.
2024-08-23 10:56:55,083 - INFO - Trial 17 finished with value: 0.4997499999999999 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.00032087966903659114, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.3216355051275518, 'scheduler_step_size': 6, 'scheduler_gamma': 0.23054587334148177}. Best is trial 17 with value: 0.4997499999999999.
2024-08-23 11:01:52,079 - INFO - Trial 18 finished with value: 1.0018333333333331 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 9.009598112783787e-05, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.3099590678509221, 'scheduler_step_size': 7, 'scheduler_gamma': 0.20685984674689198}. Best is trial 17 with value: 0.4997499999999999.
2024-08-23 11:05:18,301 - INFO - Trial 19 finished with value: 0.5607500000000001 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0012781459589264693, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.4336681787602466, 'scheduler_step_size': 4, 'scheduler_gamma': 0.466929701323005}. Best is trial 17 with value: 0.4997499999999999.
2024-08-23 11:16:35,915 - INFO - Trial 20 finished with value: 1.945083333333333 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 32, 'lr': 0.0006121208861834601, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.4744038578699372, 'scheduler_step_size': 4, 'scheduler_gamma': 0.2422106604315652}. Best is trial 17 with value: 0.4997499999999999.
2024-08-23 11:19:50,644 - INFO - Trial 21 finished with value: 0.8855 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0022236146165967993, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.40517601048170565, 'scheduler_step_size': 4, 'scheduler_gamma': 0.44539358171265364}. Best is trial 17 with value: 0.4997499999999999.
2024-08-23 12:31:55,475 - INFO - Trial 22 finished with value: 1.6070833333333328 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 9.658055308827352e-05, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.44585407435521546, 'scheduler_step_size': 4, 'scheduler_gamma': 0.3925088374982273}. Best is trial 17 with value: 0.4997499999999999.
2024-08-23 17:05:39,616 - INFO - Trial 23 finished with value: 0.77025 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0005198771297403334, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.29694980646292135, 'scheduler_step_size': 7, 'scheduler_gamma': 0.3692015761158097}. Best is trial 17 with value: 0.4997499999999999.
2024-08-23 18:04:30,019 - INFO - Trial 24 finished with value: 0.4480833333333332 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0005470228809113362, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.3127858341361612, 'scheduler_step_size': 7, 'scheduler_gamma': 0.5300606776141126}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:08:10,466 - INFO - Trial 25 finished with value: 1.1530833333333335 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0017805055575980493, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.3517320876694548, 'scheduler_step_size': 10, 'scheduler_gamma': 0.5389116381614074}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:11:05,321 - INFO - Trial 26 finished with value: 2.43925 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.014558569509416875, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.38334787055655034, 'scheduler_step_size': 7, 'scheduler_gamma': 0.48216721875849144}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:14:15,517 - INFO - Trial 27 finished with value: 1.97875 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0005710628592894919, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 256, 'num_layers': 1, 'dropout': 0.44464563843369254, 'scheduler_step_size': 6, 'scheduler_gamma': 0.6358256182821928}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:17:45,263 - INFO - Trial 28 finished with value: 0.6869999999999999 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0019668816707413238, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.33489040015666793, 'scheduler_step_size': 8, 'scheduler_gamma': 0.5129282583061608}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:31:51,662 - INFO - Trial 29 finished with value: 0.9860000000000002 and parameters: {'window_size': 8, 'horizon': 4, 'batch_size': 32, 'lr': 0.00039770118777103725, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.28537789384211776, 'scheduler_step_size': 5, 'scheduler_gamma': 0.10199932320801675}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:43:41,140 - INFO - Trial 30 finished with value: 1.6505833333333335 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 64, 'lr': 4.3382070229828496e-05, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 3, 'dropout': 0.39982216333497306, 'scheduler_step_size': 9, 'scheduler_gamma': 0.6069483705479212}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:46:46,217 - INFO - Trial 31 finished with value: 0.5449166666666667 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0019293575085408768, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.3414827274650294, 'scheduler_step_size': 8, 'scheduler_gamma': 0.5301475983062269}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:50:07,592 - INFO - Trial 32 finished with value: 0.5910833333333333 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0008208421180356805, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.357620863230408, 'scheduler_step_size': 7, 'scheduler_gamma': 0.505658256372032}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:52:54,957 - INFO - Trial 33 finished with value: 1.0714166666666665 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.003093570994768619, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.274167657952969, 'scheduler_step_size': 9, 'scheduler_gamma': 0.6322335905121843}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:55:57,125 - INFO - Trial 34 finished with value: 3.4215 and parameters: {'window_size': 2, 'horizon': 24, 'batch_size': 128, 'lr': 0.0010188322715955665, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.32926421560919983, 'scheduler_step_size': 6, 'scheduler_gamma': 0.7313114800605205}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 18:59:15,781 - INFO - Trial 35 finished with value: 1.2164166666666665 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.010281539931338294, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.41658938102317955, 'scheduler_step_size': 3, 'scheduler_gamma': 0.553450643544028}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 19:04:16,134 - INFO - Trial 36 finished with value: 2.9701666666666675 and parameters: {'window_size': 4, 'horizon': 12, 'batch_size': 64, 'lr': 0.0013716894508738707, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 256, 'num_layers': 1, 'dropout': 0.36188809398061017, 'scheduler_step_size': 8, 'scheduler_gamma': 0.3495002852323631}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 19:13:04,505 - INFO - Trial 37 finished with value: 1.1405 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.0031723696419361973, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.4804725887092586, 'scheduler_step_size': 2, 'scheduler_gamma': 0.29620609841056006}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 19:21:53,258 - INFO - Trial 38 finished with value: 4.2292499999999995 and parameters: {'window_size': 16, 'horizon': 24, 'batch_size': 32, 'lr': 0.00018519511553924316, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.44805773500366136, 'scheduler_step_size': 10, 'scheduler_gamma': 0.4476740477142454}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 19:43:11,545 - INFO - Trial 39 finished with value: 1.1529166666666668 and parameters: {'window_size': 2, 'horizon': 8, 'batch_size': 64, 'lr': 1.1554147587150065e-05, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 3, 'dropout': 0.3134684953467717, 'scheduler_step_size': 7, 'scheduler_gamma': 0.2034786776701509}. Best is trial 24 with value: 0.4480833333333332.
2024-08-23 19:52:54,400 - INFO - Trial 40 finished with value: -0.00916666666666667 and parameters: {'window_size': 8, 'horizon': 4, 'batch_size': 128, 'lr': 0.0007872831273426735, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.19881310943243458, 'scheduler_step_size': 5, 'scheduler_gamma': 0.5306512285713952}. Best is trial 40 with value: -0.00916666666666667.
2024-08-23 20:02:52,923 - INFO - Trial 41 finished with value: 0.4676666666666667 and parameters: {'window_size': 8, 'horizon': 4, 'batch_size': 128, 'lr': 0.00034558242050060806, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.20396276387664936, 'scheduler_step_size': 5, 'scheduler_gamma': 0.5326999149150343}. Best is trial 40 with value: -0.00916666666666667.
2024-08-23 20:13:29,763 - INFO - Trial 42 finished with value: -0.05008333333333332 and parameters: {'window_size': 8, 'horizon': 4, 'batch_size': 128, 'lr': 0.0003843640187176939, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.18021357372556324, 'scheduler_step_size': 5, 'scheduler_gamma': 0.5373412090045909}. Best is trial 42 with value: -0.05008333333333332.
2024-08-23 20:24:17,247 - INFO - Trial 43 finished with value: -0.033666666666666664 and parameters: {'window_size': 8, 'horizon': 4, 'batch_size': 128, 'lr': 0.00037449945365683, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.18555439178824512, 'scheduler_step_size': 5, 'scheduler_gamma': 0.5876418689181726}. Best is trial 42 with value: -0.05008333333333332.
2024-08-23 22:13:32,856 - INFO - Trial 44 finished with value: -0.1596666666666667 and parameters: {'window_size': 8, 'horizon': 4, 'batch_size': 128, 'lr': 0.0007474434975667708, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.1527798802868422, 'scheduler_step_size': 5, 'scheduler_gamma': 0.5954359551729829}. Best is trial 44 with value: -0.1596666666666667.
2024-08-23 22:28:17,753 - INFO - Trial 45 finished with value: -0.246 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.0007920872884163896, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.15627847494109548, 'scheduler_step_size': 5, 'scheduler_gamma': 0.6078975260889108}. Best is trial 45 with value: -0.246.
2024-08-23 23:24:38,831 - INFO - Trial 46 finished with value: 0.11791666666666668 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 32, 'lr': 0.0007831306790378785, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 256, 'num_layers': 1, 'dropout': 0.07968776155485933, 'scheduler_step_size': 5, 'scheduler_gamma': 0.5904086136811375}. Best is trial 45 with value: -0.246.
2024-08-23 23:55:19,748 - INFO - Trial 47 finished with value: -0.14091666666666666 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.00015451379977662557, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.15416047458339993, 'scheduler_step_size': 3, 'scheduler_gamma': 0.6933185330155558}. Best is trial 45 with value: -0.246.
2024-08-24 00:40:25,676 - INFO - Trial 48 finished with value: -0.058500000000000024 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 64, 'lr': 0.00014278922215976, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.1427263952995047, 'scheduler_step_size': 3, 'scheduler_gamma': 0.8122668264928585}. Best is trial 45 with value: -0.246.
2024-08-24 01:31:29,277 - INFO - Trial 49 finished with value: 1.1630833333333335 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 64, 'lr': 5.993437365269216e-05, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.1334889782076774, 'scheduler_step_size': 2, 'scheduler_gamma': 0.8170116009777874}. Best is trial 45 with value: -0.246.
2024-08-24 02:24:27,919 - INFO - Trial 50 finished with value: 1.5640833333333333 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 64, 'lr': 3.2184732764119e-05, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.056992361789635265, 'scheduler_step_size': 3, 'scheduler_gamma': 0.8807333538022192}. Best is trial 45 with value: -0.246.
2024-08-24 03:06:52,156 - INFO - Trial 51 finished with value: 0.09524999999999999 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 64, 'lr': 0.00015622509226199117, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.17780071763936803, 'scheduler_step_size': 3, 'scheduler_gamma': 0.7344579104244786}. Best is trial 45 with value: -0.246.
2024-08-24 03:49:23,392 - INFO - Trial 52 finished with value: 0.13366666666666663 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 64, 'lr': 0.00012885449602157155, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.14311165949461982, 'scheduler_step_size': 3, 'scheduler_gamma': 0.680440811824764}. Best is trial 45 with value: -0.246.
2024-08-24 04:16:06,433 - INFO - Trial 53 finished with value: -0.32616666666666666 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.000254392497086893, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.09705223038300817, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7711068136968107}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 04:54:28,362 - INFO - Trial 54 finished with value: -0.045500000000000006 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 64, 'lr': 0.00024565314340030495, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.09164439458265225, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7924710669611604}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 05:25:19,221 - INFO - Trial 55 finished with value: 0.9329999999999999 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 7.28696285238175e-05, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.032879052523130226, 'scheduler_step_size': 2, 'scheduler_gamma': 0.8403881745354134}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 05:49:02,659 - INFO - Trial 56 finished with value: -0.25133333333333335 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.0002115297890431885, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.15993930269041368, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7660371264443806}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 06:15:35,978 - INFO - Trial 57 finished with value: -0.16483333333333336 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.00016974367604139298, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.14206735194998407, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7166307262271664}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 07:03:32,854 - INFO - Trial 58 finished with value: -0.25516666666666665 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.00019240514473614826, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.11810151102949687, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7055302772879504}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 07:51:13,136 - INFO - Trial 59 finished with value: -0.32341666666666674 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.00021722136760199325, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.11925145531333518, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7548081528902711}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 08:39:05,530 - INFO - Trial 60 finished with value: -0.27391666666666664 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.00019578319435717718, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.11565634610240356, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7720594477072149}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 09:27:50,845 - INFO - Trial 61 finished with value: -0.2535 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.00022480458300613854, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.11872396858837607, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7642523584827988}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 10:12:14,372 - INFO - Trial 62 finished with value: -0.24133333333333337 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.0002436810068381904, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.11367303004396463, 'scheduler_step_size': 4, 'scheduler_gamma': 0.7593561768367602}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 11:24:09,003 - INFO - Trial 63 finished with value: -0.2324166666666667 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 9.403526299955562e-05, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.09636617685090147, 'scheduler_step_size': 4, 'scheduler_gamma': 0.774419488786823}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 11:59:45,710 - INFO - Trial 64 finished with value: -0.29058333333333336 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.00028497364389647634, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.12314867966264223, 'scheduler_step_size': 4, 'scheduler_gamma': 0.8496218117987483}. Best is trial 53 with value: -0.32616666666666666.
2024-08-24 12:25:55,590 - INFO - Trial 65 finished with value: 0.3748333333333333 and parameters: {'window_size': 16, 'horizon': 12, 'batch_size': 128, 'lr': 0.00021916708894739452, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.07289345983391837, 'scheduler_step_size': 4, 'scheduler_gamma': 0.8481286061829205}. Best is trial 53 with value: -0.32616666666666666.
